Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,
FY 2012,8/25/2012,8/21/2012,"Wiggle Tails Oil Field Service Inc., Bloomfield, NM 87413",Worker was crushed under the rear wheels of a truck.
FY 2012,8/25/2012,8/21/2012,"Yumoto Company Ltd, Dechard, TN 37324",Worker at an automobile assembly plant was crushed in machine.
FY 2012,8/25/2012,8/22/2012,"David Girard Vineyard, Placerville, CA 95667",Worker at a vineyard was crushed in a wine press.
FY 2012,8/25/2012,8/22/2012,"Texas Concrete and Asphalt, El Paso, TX 79932",Worker repaving highway ramp died after being struck by vehicle
FY 2012,8/25/2012,8/23/2012,"Praxair Inc., Geismar, LA 70734",Worker at an industrial gas plant died from carbon monoxide exposure.
FY 2012,8/25/2012,8/24/2012,"Komatsu America Corp., Peoria, IL 61639",Worker died from injuries sustained while operating a machine used to test hydraulic cylinders.
FY 2012,9/1/2012,8/7/2012,"SSI Services LLC, Indianapolis, IN 46217",Worker inside an asbestos pulverizing unit died from injuries after a combustible dust explosions occurred when equipment malfunctioned.
FY 2012,9/1/2012,8/11/2012,"Effingham County Fair - Board of Directors, Altamont, IL 62411",Worker was struck and killed by a payloader that was moving concrete barriers.
FY 2012,9/1/2012,8/15/2012,"J&J Trucking, Vancouver, WA 98660",Worker driving a loaded gravel truck was killed when the brakes failed causing vehicle to strike trees.
FY 2012,9/1/2012,8/20/2012,"COP Wyoming LLC, Sheridan, WY 82801",Worker was struck and killed by the bucket of a backhoe while inside a trench box.
FY 2012,9/1/2012,8/21/2012,"Baker Hughes, Casper, WY 82601","Worker at a chemical products warehouse was crushed under a 4,000-pound storage container."
FY 2012,9/1/2012,8/22/2012,"Action Roofing & Siding LLC, Rye, NY 10580",Worker removing old shingles from a residential roof died after falling from roof
FY 2012,9/1/2012,8/22/2012,"Aireko Construction Corporation, Caguas, PR 00725",Worker fell 17 feet through a metal roof landing on a concrete floor.
FY 2012,9/1/2012,8/22/2012,"Pendleton A-1 Hospitality LLC, Pendleton, OR 97801",Hotel worker found inside hotel room was a victim of homicide.
FY 2012,9/1/2012,8/25/2012,"Jorge Vargas dba Jorge Vargas Martinez, Louisville, KY 40291",Worker using a ladder to install brick board died after falling off the ladder.
FY 2012,9/1/2012,8/25/2012,"ZIA Construction and Contracting Inc., Cheney, WA 99004",Worker sheeting the roof on a two-story building suffered fatal head injuries after falling 21 feet to the ground.
FY 2012,9/1/2012,8/27/2012,"Amerifence Inc., Indianapolis, IN 46226",Worker for a fence company sweeping the fence production area was electrocuted.
FY 2012,9/1/2012,8/27/2012,"Edwards Construction Inc., Rock Hill, SC 29732",Worker preparing to cut tree limbs died after falling 40 feet to ground.
FY 2012,9/1/2012,8/30/2012,"Hai Chang Inc., Bell, CA 90201",Worker was behind truck and was caught-between truck and loading dock.
FY 2012,9/8/2012,3/28/2012,"Schindler Elevator Corp., NY, NY 10104",Elevator mechanic was electrocuted while working on a panel.
FY 2012,9/8/2012,7/21/2012,"Dandridge Golf and Country Club Inc., Dandridge, TN 37725",Worker at a golf country club died after falling from the mezzanine inside a storage barn.
FY 2012,9/8/2012,8/11/2012,"Phoenix Logging Company, Prince of Wales Island, AK 99922",Worker banding together logs was struck and killed by a falling log.
FY 2012,9/8/2012,8/20/2012,"Hubster Logging Inc., Ryderwood, WA 98581","Worker was struck by a haywire and was hospitalized, treated, and released. Several days later worker was found dead at home due to complications resulting from incident."
FY 2012,9/8/2012,8/25/2012,"Stone & Surface Designers Inc., Cocoa, FL 32926",Worker died after a granite slab fell on him.
FY 2012,9/8/2012,8/26/2012,"All Florida Tree & Landscape Inc., Ft Lauderdale, FL 33126",Tree trimmer was electrocuted after contacting a power line
FY 2012,9/8/2012,8/27/2012,"Forward Air Solutions Inc., Medley, FL 33178",Worker died from head injuries after falling off of a conveyor.
FY 2012,9/8/2012,8/27/2012,"H&W Logging, Tazewell VA 24651",Worker was killed after being run over by a skidder machine.
FY 2012,9/8/2012,8/29/2012,"Home Crafters of Tidewater, Suffolk, VA 23435",Worker erecting a pump jack scaffold system was electrocuted when the pole he was using contacted a power line.
FY 2012,9/8/2012,8/31/2012,"Fireworks and Stage FX America Inc., Lake Elsinor, CA 92530",Worker was preparing aerial fireworks when an explosion occurred. Worker was hospitalized but succumbed to injuries on 9/2/2012.
FY 2012,9/8/2012,9/1/2012,"Carolina Salvage, Rock Hill, SC 29730",Worker operating a crane to put a trailer on beams was killed when the trailer fell on worker.
FY 2012,9/8/2012,9/1/2012,"CR Koehl and Sons Inc., Hancock, MN 56244",Worker died after the semi-tractor/trailer he was driving overturned.
FY 2012,9/8/2012,9/1/2012,"OG&E Energy Corp., Mustang, OK 73064",Employee for an energy supply company was electrocuted.
FY 2012,9/8/2012,9/2/2012,"AJ's Transport LLC, Lincoln, AL 35096",Employee was crushed when a jack supporting a tractor trailer failed causing the trailer to fall on him.
FY 2012,9/8/2012,9/2/2012,"Core-Mark International, Wilkes Barre, PA 18703",Worker operating a forklift died from head injuries after being struck by a beam.
FY 2012,9/8/2012,9/2/2012,"GreenTek Roofing, Carnigie, PA 15106",Worker died after falling from a roof.
FY 2012,9/8/2012,9/2/2012,"Smithfield Packing, Grayson, KY 41101",Worker electrocuted while rewiring a breaker panel for a smoke generator.
FY 2012,9/8/2012,9/3/2012,"Bravo Environmental NW Inc., McKenna, WA 98580",Worker was killed in motor vehicle accident due to weather conditions.
FY 2012,9/8/2012,9/3/2012,"High Desert Roofing, Farmington, NM 87401",Worker died after falling through a roof opening and hitting concrete floor.
FY 2012,9/8/2012,9/3/2012,"Sonoco Hartville, SC 29550",Worker at a packaging products facility died after being caught between two rolling parts of a paper machine.
FY 2012,9/8/2012,9/4/2012,"Glass Machinery and Excavation, Clintwood, VA 24228",Roadway worker flagging traffic was struck and killed by 18-wheel truck.
FY 2012,9/8/2012,9/4/2012,"Mark F. Taggert Company, Columbus, OH 43229",Worker died from fall from a ladder.
FY 2012,9/8/2012,9/4/2012,"Hansen Plumbing Inc., Gettysburg, SD 57442",Employee was struck and killed by parts of a wastewater pump that exploded.
FY 2012,9/8/2012,9/4/2012,"HRI Inc., Bethlehem, PA 18015",Worker was crushed when a section of a road barrier fell on him.
FY 2012,9/8/2012,9/4/2012,"Mullen Electric Co., Kyle, TX 78640",Employee repairing a lamp died after falling from a ladder and hitting his head.
FY 2012,9/8/2012,9/4/2012,"Rangeline Tapping Services Inc., Cut and Shoot, TX 77306","Employee performing painting services died after being pinned by a 2,000-pound flange housing."
FY 2012,9/8/2012,9/5/2012,"Industrial TX Corp., Webster, TX 77598",Worker was struck and killed by construction equipment.
FY 2012,9/8/2012,9/5/2012,"M&C Electrical, Arlington, VA 22201",Worker was electrocuted while installing a conduit.
FY 2012,9/8/2012,9/5/2012,"MWR Riverside Orchards LLC, Eltopia, WA 99330",Worker changing irrigation pipes was electrocuted after the pipe contacted power lines.
FY 2012,9/8/2012,9/5/2012,"Tidco Transportation Inc., Double Springs, AL 35553",Emplyoyee died due to tractor trailer falling on him when the support jack failed.
FY 2012,9/8/2012,9/5/2012,"Werkheiser Roofing, Rye, NY 10580",Worker died after falling 20 feet from a ladder.
FY 2012,9/8/2012,9/6/2012,"Construction Engineering Consultants Inc., Beaver Falls, PA 15010",Employee was struck and killed by a dump truck moving in reverse.
FY 2012,9/8/2012,9/6/2012,"Select Sires Inc., Plain City, OH 43064",Worker was crushed between the gate and post of a pen when letting bulls out to feed.
FY 2012,9/15/2012,8/1/2012,"Libbey Glass Inc., Toledo, OH 43697",Employee died from fall at work.
FY 2012,9/15/2012,8/11/2012,"Effingtham County Fair, Board of Directors, Altamont, IL 62411",Worker struck and killed by a payloader used to move concrete barriers.
FY 2012,9/15/2012,8/17/2012,"Evan F. Hamilton, Prosser, WA 99350",Worker struck and killed by a grain harvesting machine.
FY 2012,9/15/2012,8/17/2012,"Waste Pro USA Inc., Loxahatchee, FL 33470",Employee operating a waste truck was crushed when it tipped over.
FY 2012,9/15/2012,8/23/2012,"Whispering Hills Landscaping Inc., Radcliff, KY 40160",Worker mowing a hillside was killed when the mower overturned.
FY 2012,9/15/2012,8/27/2012,"MTA LIRR Hillside Yard Gang 26, Jamaica Queens, NY 11423",Worker performing maintenance work electrocuted after contacting an energized rail.
FY 2012,9/15/2012,9/1/2012,"Zorienzan's Amusements Inc., Brentwood, NY 11717",Carnival worker was fatally struck by a ride's spinning bucket.
FY 2012,9/15/2012,9/4/2012,"Cutting Edge Molding, Bonita Springs, FL 34133",Worker operating an aerial lift was electrocuted after contacting an overhead power line.
FY 2012,9/15/2012,9/4/2012,"NYCDPR Al Oreter Recreation Center, Maintenance Op, Ctr., Flushing, NY 11355",Worker was fatally stabbed during a verbal altercation with a garbage truck operator.
FY 2012,9/15/2012,9/5/2012,"Pentair, Brookfield, WI 53045",Employee died from a head injury after falling from a chair.
FY 2012,9/15/2012,9/5/2012,"Roger Elliot Construction, Penn Valley, CA 95946",Worker changing a truck tire struck and killed by a chain on an excavator bucket.
FY 2012,9/15/2012,9/7/2012,"Ameriwaste Inc., Santa Fe, TX 77510",Worker died after being pinned between truck and ground after truck rolled over into ditch.
FY 2012,9/15/2012,9/7/2012,"J.R. Resources LP, Ringgold, PA 15570",Worker pumping fluid out of a plastic tank died when the tank exploded.
FY 2012,9/15/2012,9/9/2012,"S.J. Louis Construction Inc., Bismarck, ND 58501",Trench worker killed after being pinned between track hoe and 24-inch pipe.
FY 2012,9/15/2012,9/9/2012,"Southern Hens Inc., Moselle, MS 39459",Employee cleaning the processing area in a poultry plant died after falling into a screw conveyor.
FY 2012,9/15/2012,9/10/2012,"Concrete Foundations Inc., Highway X20 and Abbe Hills Road, IA 52314",Back-hoe operator killed when vehicle rolled over and pinned him underneath.
FY 2012,9/15/2012,9/10/2012,"K&S Parrott LLC, Amarillo, TX 79104",Worker fatally kicked by cattle during off-loading from a trailer.
FY 2012,9/15/2012,9/10/2012,"Pizzitola Guttering Co., Houston, TX 77007",Employee fell from ladder while performing work near gutter of house.
FY 2012,9/15/2012,9/10/2012,"Stagg LLC, San Antonio, TX 78230",Employee died after slipping on a wet floor.
FY 2012,9/15/2012,9/10/2012,"S&B Masonry Corp., Brooklyn, NY 11205",Employee died when a masonry wall collapsed on him.
FY 2012,9/15/2012,9/10/2012,"Willman Industries Inc., Cedar Grove, WI 53013",Employee was crushed after being caught in a molding machine.
FY 2012,9/15/2012,9/11/2012,"Elba Diaz, Mt. Juliet, TN 37122",Worker performing residential framing died after falling nine feet from the top of an interior wall.
FY 2012,9/15/2012,9/11/2012,"Gibson Winery, Sanger, CA 93657",Employee working as a wine blender died from asphyxiation after being exposed to ammonia gas.
FY 2012,9/15/2012,9/11/2012,"Spirit Aerosystems Inc., Wichita, KS 67210",Worker died after falling approximately 12 feet from a work platform to the ground.
FY 2012,9/15/2012,9/12/2012,"Athos Construction, Avon, OH 44011",Employee working in temporary work zone was struck and killed by a motor vehicle.
FY 2012,9/15/2012,9/12/2012,"Farwest Portable Crushing Inc., Gresham, OR 97030",Worker operating a construction vehicle was killed when vehicle rolled over and down a hill.
FY 2012,9/15/2012,9/12/2012,"Grower's Chemical Corporation, Norwalk, OH 44857",Farm worker died after being struck in the head by a hooper wagon.
FY 2012,9/15/2012,9/12/2012,"River Cities Machine LLC, Bossier City, LA 71111","Worker was killed after his shirt became caught in a lathe he was operating, pulling him into the machine."
FY 2012,9/15/2012,9/13/2012,"Delicato Winery Vineyard, Manteca, CA 95336",Worker unhitching a trailer died after he was run over by another driver.
FY 2012,9/15/2012,9/13/2012,"Fisher Industries, Interstate 80 East Bound, Mile Post 392, NV 89521",Worker making repairs to a tire compactor was crushed between the compactor and a drum roller.
FY 2012,9/15/2012,9/14/2012,"Belton Metal Company Inc., Belton, SC 29627",Worker run over and crushed by track hoe.
FY 2012,9/15/2012,9/14/2012,"Danlin Corp, Cedar Bluffs, NE 68015",Employee working on a roof died from injuries after falling 20 feet to the ground.
FY 2012,9/15/2012,9/14/2012,"Worthington Cylinder Corporation, Westerville, OH 43082","Employee was crushed between two 2,500-pound coils."
FY 2012,9/22/2012,6/29/2012,"Williams Warehouse Inc, Plains, GA 31780",Employee died after falling from a roof through a skylight while removing metal panels.
FY 2012,9/22/2012,9/13/2012,"Mr Asphalt Inc., Corvallis, MT 59828",Worker died after falling approximately 13 ft while checking the level of an asphalt oil tank.
FY 2012,9/22/2012,9/20/2012,"Bonneville Power Administration, Saint Regis, MT 59866",Worker died after falling approximately 80 feet while replacing insulators.
FY 2012,9/22/2012,9/20/2012,"Ryan's Tree Service, Chaumont, NY 13622",Worker died after being crushed by a chipper.
FY 2012,9/22/2012,9/21/2012,"G.R. Birdwell Construction LP, Channelview, TX 77530",Worker was killed after being pinned between the dirt compactor he was operating and a wall.
FY 2012,9/22/2012,9/21/2012,"United Drilling Inc, Fort Stockton, TX 79735",Worker was killed after being struck in the head by a cable that snapped during drilling operations.
FY 2012,9/22/2012,9/22/2012,"Mark F. Taggert Company, Columbus, OH 43229",Worker died from fall from a ladder.
FY 2012,9/22/2012,9/22/2012,"Olmar Salazar, Airmont, NY 10901",Employee died after being struck by a tree branch while working on a landscaping site.
FY 2012,9/22/2012,9/23/2012,"Archer Underbalanced Services, Boys Ranch, TX 79010",Worker was killed while repairing an air compressor after a 2-inch line separated and struck employee in the chest.
FY 2012,9/22/2012,9/24/2012,"KAYCO Erectors Inc, Sugar Hill, GA 30518",Employee died after falling through floor hole while installing metal decking.
FY 2012,9/22/2012,9/24/2012,"SITI, Rayne, LA 70578",Worker was pouring concrete when he was struck and killed by a vehicle being driven by another employee.
FY 2012,9/22/2012,9/25/2012,"Jet Import Inc, Chicago, IL 60608",Worker died after being struck on the head by a pallet that had fallen from a trailer he was preparing to unload.
FY 2012,9/22/2012,9/26/2012,"Advanced Recycling Center, Brewton, AL 36426",Worker was crushed when bucket of skid loader fell on him when he crawled under machine to disconnect a hydraulic line.
FY 2012,9/22/2012,9/27/2012,"Viking Drilling, Rankin, TX 79778",Employee was electrocuted when the forklift he was operating became entangled with a 440-480 volt electrical line.
FY 2012,9/29/2012,6/29/2012,"Williams Warehouse Inc, Plains, GA 31780",Employee died after falling from a roof through a skylight while removing metal panels.
FY 2012,9/29/2012,7/19/2012,"Terrapin Construction Bowie, MD 20715",Worker was trimming a tree limb from an extended tree belonging to a neighbor and fell off ladder. Worker was hospitalized but succumbed to injuries and died on 8/13/2012.
FY 2012,9/29/2012,8/22/2012,"New Jersey Transit Heavy Rail Kearny, NJ 07032",Worker performing maintanence underneath railroad equipment when hydraulic line disconnected and equipment lowered crushing worker.
FY 2012,9/29/2012,9/11/2012,"Desert Rose Golf Course Las Vegas, NV 89142",Worker was operating a front end loader to spread dirt in the wash and was unexpectedly swept away by a wall of water flowing at approximately 65-70 MPH. Worker's body was found on 9/14/2012.
FY 2012,9/29/2012,9/13/2012,"Mr Asphalt Inc., Corvallis, MT 59828",Worker died after falling approximately 13 ft while checking the level of an asphalt oil tank.
FY 2012,9/29/2012,9/20/2012,"Bonneville Power Administration, Saint Regis, MT 59866",Worker died after falling approximately 80 feet while replacing insulators.
FY 2012,9/29/2012,9/20/2012,"Ryan's Tree Service, Chaumont, NY 13622",Worker died after being crushed by a chipper.
FY 2012,9/29/2012,9/21/2012,"G.R. Birdwell Construction LP, Channelview, TX 77530",Worker was killed after being pinned between the dirt compactor he was operating and a wall.
FY 2012,9/29/2012,9/21/2012,"United Drilling Inc, Fort Stockton, TX 79735",Worker was killed after being struck in the head by a cable that snapped during drilling operations.
FY 2012,9/29/2012,9/22/2012,"Mark F. Taggert Company, Columbus, OH 43229",Worker died from fall from a ladder.
FY 2012,9/29/2012,9/22/2012,"Olmar Salazar, Airmont, NY 10901",Employee died after being struck by a tree branch while working on a landscaping site.
FY 2012,9/29/2012,9/22/2012,"Prime Flight Aviation Services San Francisco, CA 94128",Worker drove service truck off road crashing into parked lear jet.
FY 2012,9/29/2012,9/23/2012,"Archer Underbalanced Services, Boys Ranch, TX 79010",Worker was killed while repairing an air compressor after a 2-inch line separated and struck employee in the chest.
FY 2012,9/29/2012,9/24/2012,"Indiana Women's Prison Indianapolis, IN 46214","Worker was issued a firearm, went outside, and committed suicide."
FY 2012,9/29/2012,9/24/2012,"KAYCO Erectors Inc, Sugar Hill, GA 30518",Employee died after falling through floor hole while installing metal decking.
FY 2012,9/29/2012,9/24/2012,"PennAKem, LLC Memphis, TN 38108",Two workers transferring Furfurlyamine and Methanol from a storage tank to a reactor when an explosion occurred. Both suffered second degree burns and were hospitalized. One of these workers who suffered burns over 92% of body died on 9/27/2012.
FY 2012,9/29/2012,9/24/2012,"SITI, Rayne, LA 70578",Worker was pouring concrete when he was struck and killed by a vehicle being driven by another employee.
FY 2012,9/29/2012,9/24/2012,"Traffic Specialists, Inc. Calhoun, TN 37309",Worker was installing reflectors when struck by a tractor trailer.
FY 2012,9/29/2012,9/25/2012,"Jet Import Inc, Chicago, IL 60608",Worker died after being struck on the head by a pallet that had fallen from a trailer he was preparing to unload.
FY 2012,9/29/2012,9/26/2012,"Advanced Recycling Center, Brewton, AL 36426",Worker was crushed when bucket of skid loader fell on him when he crawled under machine to disconnect a hydraulic line.
FY 2012,9/29/2012,9/26/2012,"Recovery Home Improvement, Inc. Baltimore, MD 21222",Worker was electrocuted when a 27-foot ladder hoist the worker was moving fell backwards and struck two 7.62 kV overheard distribution lines.
FY 2012,9/29/2012,9/26/2012,"Russell Toll dba Toll Roofing and Repair Maysville, KY 41018",Worker installing a tarp on a roof of a hotel stepped on the eave which collapsed resulting in worker falling approximately 26 feet on to parking lot.
FY 2012,9/29/2012,9/26/2012,"Steven Barkoff Hillsborough, CA 94010","Worker fell from attic to garage floor striking a flower base, hitting the right artery by armpit resulting in loss of blood. Worker was hospitalized but died in ER."
FY 2012,9/29/2012,9/27/2012,"Viking Drilling, Rankin, TX 79778",Employee was electrocuted when the forklift he was operating became entangled with a 440-480 volt electrical line.
