Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
8/11/2013,"Perfection Home Repair, Chester, SC 29706",Worker electrocutred while trying to find water leak under a residential home.,Fatality
8/11/2013,"Ritter Construction Company, Hochheim, TX 77967",Worker struck and killed by a 60-inch pipe wrench. ,Fatality
8/10/2013,"Bakersfield Speedway, Bakersfield, CA 93308",Worker died after being struck by a race car. ,Fatality
8/10/2013,"Capco Contractors Inc., Longview, TX 75604",Three employees were hospitalized after a flash fire during welding operations.,Fatality
8/10/2013,"Frank J. Fazzio & Sons Inc., Pitman, NJ 08071",Worker died in fall from a truck.,Fatality
8/10/2013,"Spring Valley Associates, Ely, NV 89301",Worker died after being ejected from ATV.,Fatality
8/10/2013,"Waldhaus, Inc., Topanga, CA 90290",Worker fell 100 feet into river and was swept over waterfall.,Fatality
8/9/2013,"Award Electrical Service Inc., Stillwater, OK 74074",Electrical apprentice electrocuted while repairing wires in attic.,Fatality
8/9/2013,"Mississippi Phosphates Corporation, Pascagoula, MS 39567",Three employees were hospitalized after being sprayed with sulfuric acid during pumping operations. ,Catastrophe
8/9/2013,"North American Powerline Construction Services Inc., Eugene, OR 97405",Worker killed when manlift fell over while working on a cell tower.,Fatality
8/9/2013,"Top-Co Cementing, Itasca, TX 76055",Employee in construction zone died after an 18-wheeler rear-ended the vehicle he was operating. ,Fatality
8/8/2013,"Jimmies Tree Service Inc., Hemingway, SC 29554",Worker performing flag work struck and killed by an oncoming vehicle.,Fatality
8/8/2013,"L&L Ranch, Chawahilla, CA 93610",Worker crushed and killed after being thrown from tractor.,Fatality
8/7/2013,"5 J Oilfield Services, Jal, NM 88252",Worker crushed to death between oil and gas drilling machine and truck.,Fatality
8/7/2013,"Clintar Groundskeeping Florida LLC, Green Acres, FL 33413",Worker killed by overturned lawn mower.,Fatality
8/7/2013,"D.H. Griffin of Texas Inc., Tyler, TX 75706",Skid-steer loader operator working at a demolition site was killed when the loader fell into an open pit.,Fatality
8/7/2013,"Decorative Home Services LLC, Sun City Center, FL 33571",Worker died after falling from a 15-foot scaffold while doing stucco work.,Fatality
8/7/2013,"Harriman State Park, Bear Mountain, NY  10911",Worker struck and killed by an excavator hammer.,Fatality
8/7/2013,"Riverwood Flooring & Paneling Inc., Whigham, GA 39897",Worker died after being cut during repairs to a saw carriage.,Fatality
8/7/2013,"Sole Proprietor, Sharp Communications,                                             Las Vegas, NV 89030",Worker died afer falling 16 feet from a communications tower.,Fatality
8/7/2013,"Summit Tower Construction LLC, Waynesboro, VA 22980",Worker climbing a cell phone tower communication died after falling approximately 100 feet.  ,Fatality
8/7/2013,"Trees Inc., Grand Rapids, MI 49507",Worker electrocuted from power lines.,Fatality
8/6/2013,"Central Ready Mix LLC, Middletown, OH 45044",Worker died from ashyxiation after becoming engulfed in fly-ash.,Fatality
