Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
9/28/2012,"DiPonio Contracting, LLC, Shelby Twp, MI 48092",Worker moving a 36-foot-long pipe across roadway was killed when a bus hit the pipe throwing worker into a crane.,Fatality
9/28/2012,"Trimming Land Company,Inc. Riverside, CA 90280",Worker trimming trees was struck and killed by tree limb.,Fatality
9/27/2012,"Davey Tree, Livermore, CA 9455",1 Worker cutting down trees was struck and killed by a tree branch.,Fatality
9/27/2012,"Longevity International Enterprises Corporation, Honolulu, HI 96817",Maintenance worker died after falling off a two-stage-high mobile scaffold,Fatality
9/27/2012,"Maria Jesus Flores, Riverside, CA 93656",Worker run over and killed by a tractor trailer.,Fatality
9/25/2012,"NV Energy, Las Vegas, NV 89040",Worker died after falling 75 feet from a steel tower to the ground.,Fatality
9/24/2012,"Beaver Valley Backyard Garden Products Inc., Morton, WA 98567",Worker making deliveries died when the brakes failed on the delivery truck causing vehicle to crash.,Fatality
9/24/2012,"Custom Crushing & Recycling, Battle Lake, MN 56515",Worker using a cutting torch to help dismantle a farm combine suffered fatal burns when a fuel tank exploded. Two other workers suffered second and third degree burns.,Fatality
9/21/2012,"Silver Bullet Production,Acton,CA 93510",Worker drowned while cleaning a large water tank.,Fatality
8/23/2012,"Myers Container Service Corporation, Barre, VT 05641",Worker died from injuries after falling off truck. ,Fatality
8/16/2012,"Cheston Madsen dba Madsen Plumbing, Ephraim, UT 84632",Worker crushed and killed by tractor backhoe bucket while removing top from sanitation tank.,Fatality
8/16/2012,"Rhodes Pump Sales & Service Company, New Harmony, UT 84757",Worker electrocuted after truck boom contacted power lines during water pump maintenance.,Fatality
8/3/2012,"Bergen County Parks Dept., Mahwah, NJ 07430",Worker closing a steel gate was fatally struck in the chest by the gate arm.,Fatality
8/1/2012,"Roc Equipment, Henderson, NV 89015",Worker died from injuries sustained from the release of extreme pressure while performing maintenance on a hydraulic cylinder for a drill rig.,Fatality
7/28/2012,"Joe Stilley & Son LLC, Trenton, NC 28585",Worker died after collapsing on the ground with seizures while working in a tobacco field with a heat index of 108 degrees.,Fatality
7/12/2012,"Adonis Bronze, Alpine, UT 84004",Worker was struck and killed by the door on a pressure vessel.,Fatality
4/1/2012,"ReMax Intergrity Group, Gary, IN 46408",Real estate worker showing a house suffered fatal burns when she turned on a light switch which ignited a pocket of natural gas causing an explosion.,Fatality
3/23/2012,"Cambelt International, Salt Lake City, UT 84104",Worker killed when crushed between a bolster and ram while performing maintenance on a press machine.,Fatality
3/4/2012,"Lucky Food Mart, Merrillville, IN 46410",Convenience store worker was killed after being shot by two robbers.,Fatality
1/2/2012,"Hurling Erection and Construction Inc., Jacksboro, TN 37577",Worker died after falling from scaffold while trying to access roof.,Fatality
5/22/1995,"SNW Construction Inc., Lynnwood, WA 98046",Worker permanently disabled from the shoulders down after falling 20 feet out of a wall opening. The worker later died from complications related to the injury.,Fatality
