Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,03/12/11,03/10/11,"Ultra Building Services,, The Woodlands, TX 77381",Worker operating an electric floor buffer in the building was found unconscious and non-responsive by building security.
FY 2011,03/12/11,03/11/11,"Westfalia Technologies, Inc.,, Tampa, FL 33612","Worker was replacing chains on a storage retrieval machine when a vertical lift station came crashing down, striking the worker."
FY 2011,03/19/11,09/11/10,"Paolella Pro-Fitting, Inc., Newark, NJ 07105",Worker was killed after being run over by a highway milling machine.
FY 2011,03/19/11,01/11/11,"DL Cattle LLC., Parks, NE 69041",Worker was asphyxiated after being engulfed in a grain bin.
FY 2011,03/19/11,02/09/11,"Airco Service, Inc., Tulsa, OK 74146",Worker died after falling 15 feet through a snow-covered skylight.
FY 2011,03/19/11,02/16/11,"Coastal Crane & Rigging, Inc., Savannah, GA 31419",Worker was killed after falling from a boom truck platform.
FY 2011,03/19/11,02/25/11,"Ceres Gulf Inc., New Orleans, LA 70115","One worker was killed, another injured after the tire they were removing blew off the axle."
FY 2011,03/19/11,03/03/11,"Elm Farms Incorporated, Okawville, IL 62271",Two workers were electrocuted after lifting an aluminum pipe to free a raccoon and hitting an overhead power line.
FY 2011,03/19/11,03/04/11,"American Hardwood Industries/Graham Lumber Company, Fulton, MS 38843","Worker, who was fixing a chipper motor, was electrocuted after contacting a live wire."
FY 2011,03/19/11,03/04/11,"Premier Logging, LLC., Plaucheville, LA 71329",Worker died after being run over by a road grader.
FY 2011,03/19/11,03/06/11,"Koch Specialty Plant Services, Inc., Norco, LA 70079",Worker performing maintenance on a tower died after becoming unconscious from hydrogen sulfide exposure and falling 100 feet.
FY 2011,03/19/11,03/06/11,"Reithoffer Shows, Inc., North Fort Myers, FL 33917",Worker disassembling a fair/carnival ride was found unresponsive.
FY 2011,03/19/11,03/07/11,"Barnesville Bus Company, Barnesville, MN 56514",Business co-owner was killed after being crushed by facility's garage door.
FY 2011,03/19/11,03/10/11,"John Deere PEC Waterloo, IA 50702","Worker ejected from, then pinned under tractor, after losing control and striking a utility pole."
FY 2011,03/19/11,03/11/11,"5J Oilfield Services, LLC., Stanton, TX 79782",Worker was killed when caught between a tractor trailer and forklift.
FY 2011,03/19/11,03/11/11,"Asplundh Tree Expert Co., Greenup, KY 41144",Worker struck by falling tree.
FY 2011,03/19/11,03/12/11,"Nassau Co PD Bureau of Special Operations, N. Bellmore, NY 11710",Plain clothes police officer mistaken for a perpetrator and shot by a uniformed officer.
FY 2011,03/19/11,03/13/11,"NYCPD 84th PCT Brooklyn, NY 11201",Police officer fell 9 feet after being pushed over railing by suspect.
FY 2011,03/19/11,03/13/11,"Walt Disney World Co., Lake Buena Vista, FL 32830",Worker testing a roller coaster was struck and killed by one of the coaster’s carts.
FY 2011,03/19/11,03/14/11,"Express Commercial Services of Texas, Plano, TX 75093",Worker operating a street sweeper was struck and killed by two cars that were street racing.
FY 2011,03/19/11,03/14/11,"JKS Ventures, Inc., Melrose Park, IL 60160",Worker was crushed between a forklift and bale of compressed cardboard.
FY 2011,03/19/11,03/14/11,"United Space Alliance, Kennedy Space Center, FL 32899-0001",Worker died after an apparent 215-foot fall from a space shuttle launch structure.
FY 2011,03/19/11,03/14/11,"Vesuvius Chicago Heights Plant, Chicago Heights, IL 60411",Worker unclogging a bin died after falling 30 feet onto railroad tracks.
FY 2011,03/19/11,03/15/11,"Composite Rigging Limited and Company, North Kingstown, RI 02852",Worker died after being struck on the head by a sailboat rigging cable.
FY 2011,03/19/11,03/16/11,"Century Lighting, Sacramento, CA 95834",Worker died after being crushed between a store ceiling and aerial device basket.
FY 2011,03/19/11,03/17/11,"Devine Intermodal, Sacramento, CA 95691","Worker, who was assisting a vehicle, was struck and killed by another vehicle."
FY 2011,03/19/11,03/17/11,"Empire State Cardboard Paper Recycling Corp., Maspeth, NY 11378",Worker was crushed between a trailer and a parking lot sweeper.
FY 2011,03/19/11,03/18/11,"Gilchrist Construction, Alexandria, LA 71302",Worker employed as a traffic flagger was struck and killed by a truck.
FY 2011,03/19/11,03/20/11,"Butterville Farms, LLC., Adams, NY 13605",Worker died after sustaining crushing injuries while working in a cow barn.
FY 2011,03/26/11,01/10/11,"Triumph Aerostructures Vought Aircraft Division, Grand Prairie, TX 75211",Worker died after falling from a tractor trailer while trying to secure materials.
FY 2011,03/26/11,03/02/11,"Witmer Mulch, Willow Street, PA 17584",Worker was killed after being struck in the head by a mulch hopper.
FY 2011,03/26/11,03/09/11,"Reeco Well Services, Inc., Lovington, NM 88260",One worker killed and three workers injured from a fire at an oil well rig.
FY 2011,03/26/11,03/14/11,"Valley Transportation, Inc., Hueytown, AL 35023",Worker was struck and run over by a moving truck.
FY 2011,03/26/11,03/16/11,"ACTV Inc., Bolivar, MO 65613",Worker was electrocuted after contacting a power line while putting up advertisement signs.
FY 2011,03/26/11,03/17/11,"Drywall Systems Plus, Inc., Fort Knox, KY 40121",Worker died after being struck by a fallen metal wall panel.
FY 2011,03/26/11,03/18/11,"City of Cathedral City- Police Dept., Cathedral City, CA 92262",Officer crashed during a vehicle pursuit.
FY 2011,03/26/11,03/18/11,"P & C Construction, Santa Fe, TX 77510",Worker performing steel erection died after falling 50 feet from collapsed beams and columns.
FY 2011,03/26/11,03/18/11,"Richard McKenzie & Sons, Inc., Frostproof, FL 33843",Worker was ejected from and run over by a front-end loader.
FY 2011,03/26/11,03/19/11,"T. K. Stanley, Beaumont, TX 77713",Worker was crushed between two derricks sections.
FY 2011,03/26/11,03/20/11,"Yellow Cab of Lexington, Lexington, KY 40510",Worker found shot in cab.
FY 2011,03/26/11,03/21/11,"Woodall Electric, Inc., Moselle, MS 39459",Worker was electrocuted after contacting live lighting parts.
FY 2011,03/26/11,03/22/11,"Baldwin Paving Company, Inc., Marietta, GA 30060",Worker was pinned between asphalt roller and a dumpster.
FY 2011,03/26/11,03/23/11,"Emjay Environmental Recycling, Ltd., Brentwood, NY 11717",Worker was caught in a machine.
FY 2011,03/26/11,03/23/11,"SAE Vinyl Siding, Cincinnati, OH 45251",Worker setting up a scaffold system was electrocuted when the pole contacted an overhead utility line.
FY 2011,03/26/11,03/23/11,"Thieman Stampling Co., New Bremen, OH 45869",Worker was found dead on the floor of a welding shop.
FY 2011,04/02/11,03/23/11,"Fuentes Enterprises, Inc., West Springfield, MA 01089",Worker was killed after a cigarette lighter used to check the level of a 55-gal. drum of flammable liquid ignited the liquid's vapor and exploded. Worker died from burns and blunt head trauma.
FY 2011,04/02/11,03/23/11,"R,R, Donnelley, Willard, OH 44888-0002",Worker positioning rolls of paper stock into a printing press collasped and later died. Cause of death is undetermined at this time.
FY 2011,04/02/11,03/24/11,"Russell Engineering, Sunrise, FL 33322",Worker picking up roadway debris was run over and killed by an asphalt paving roller.
FY 2011,04/02/11,03/25/11,"Hamm Company, Perry, KS 66073",Worker was struck and killed by a vehicle in a shop parking lot.
FY 2011,04/02/11,03/25/11,"Vo's Auto Repair, Gresham, OR 97030",Worker inspecting car bearings was crushed after car began moving.
FY 2011,04/02/11,03/26/11,"Kenco LLC., Lincoln, MT 59639",A truck driver securing a load of logs was struck in the head by a loose log.
FY 2011,04/02/11,03/26/11,"NYS Police Clarence LODD 2011, Clarence, NY 14031",Police trooper struck by a passing vehicle while conducting a traffic stop.
FY 2011,04/02/11,03/26/11,"Pinnacle Foods Group LLC, Fort Madison, IA 52627",Sanitation worker was killed after being pulled into auger while cleaning it.
FY 2011,04/02/11,03/27/11,"ABC Coke-Division of Drummond Company, Tarrant, AL 35217",Worker was crushed between a coal hopper and Larry car while trying to open a coke oven chute.
FY 2011,04/02/11,03/28/11,"Bed Bath & Beyond, Port Reading, NJ 07064",Worker fell from a mobile ladder.
FY 2011,04/02/11,03/28/11,"Ceres Marine Terminals, Portsmouth, VA 23703",Worker died after being struck by a forklift while directing the transport of a ship's hatch cover.
FY 2011,04/02/11,03/28/11,"Dean Stevens, Dayton, OH 45414",Worker performing building demolition activities was killed by fallen steel beam column supports.
FY 2011,04/02/11,03/28/11,"KTG USA LP, Memphis, TN 38107",Park Service worker collapsed and died from possible smoke inhalation after fighting a fire.
FY 2011,04/02/11,03/28/11,"Sysco Guest Supply, LLC, Concord, NC 28027",Worker died after being struck by falling boxes and falling 19 feet.
FY 2011,04/02/11,03/29/11,"All American Window Cleaning, Inc., Canyon, CA 92647",Worker washing windows was electrocuted after making contact with a live wire.
FY 2011,04/02/11,03/29/11,"Com Ed, Crystal Lake, IL 60014",Utility worker helping to move electric poles was killed when a portion of the pole fell on the worker's head.
FY 2011,04/02/11,03/29/11,"Comfort World A/C and Heating, LLC, Scottsdale, AZ 85254",Worker fell from ladder.
FY 2011,04/02/11,03/29/11,"Timberline Nursery Inc., Hillister, TX 77624",Worker suffered blunt force head trauma after riding bicycle off a four-foot loading dock.
FY 2011,04/02/11,03/30/11,"Rebay, Marletta, OH 45750",Worker was operating a skid steer on the ramp to a large running diesel trammel and was found inside the trammel.
FY 2011,04/02/11,03/31/11,"Hilcorp Energy, Inc., Lafayette, LA 70506",Worker performing wire line service was killed after a high pressure well valve burst in worker's face.
FY 2011,04/02/11,03/31/11,"Panduit Corp., Dekalb, IL 60115",Worker was found in a forklift truck dead of an apparent heart attack.
FY 2011,04/02/11,04/01/11,"American Metal Recyclin, Fontana, CA 92337",Worker killed from gas inhalation during fire that began while using oxy/Acetylene to cut metal.
FY 2011,04/09/11,01/26/11,"Dal-Tile Corporation Raleigh, NC 27610",Worker unloading crates of granite slabs was crushed after the wire rope holding the crates broke.
FY 2011,04/09/11,03/16/11,"Sanders Wood Products Molalla, OR 97038",Worker died after being struck on the head by a piece of lumber that fell from a conveyer.
FY 2011,04/09/11,03/21/11,"Carbide Industries, LLC Louisville, KY 40211",Two workers were killed and one injured after an explosion in an industrial gas plant.
FY 2011,04/09/11,03/31/11,"Dixon Electrical Systems & Contracting, Inc., Ashland, KY 41101",Electrical worker died from burns and asphyxiation after a coke oven gas explosion.
FY 2011,04/09/11,03/31/11,"DME Enterprises, Bridge City, TX 77611","A welder working on top of a storage tank was killed when the tank exploded, throwing the worker to the ground."
FY 2011,04/09/11,04/01/11,"Orion Drilling Company LLC Altair Rig #7, Catarina, TX 78836",Worker died after being struck in the head from an 8-lb. bolt that fell 142 feet from a drilling rig.
FY 2011,04/09/11,04/02/11,"Texas Barge & Boat Company, Inc., Freeport, TX 77451","Two workers, repairing a barge by cutting away its bottom plate, were killed by a flash fire."
FY 2011,04/09/11,04/04/11,"Devon Severs dba We Show Up, Shamong, NJ 08088",Worker cutting down dead trees was killed when struck by the tree's base.
FY 2011,04/09/11,04/04/11,"Ornamental Plants Brentwood, CA 94513","An employer, operating a powered industrial truck, was killed after falling and being run over by the machine."
FY 2011,04/09/11,04/05/11,"Diversified Transport, LLC., Baton Rouge, LA 70815",Recycle collection worker was killed after being run over by the collection truck.
FY 2011,04/09/11,04/05/11,"Veolia Water North America Operating Services LLC Gatlinburg, TN 37738",Two waste water operators were killed after the front wall of basin collapsed in control room.
FY 2011,04/09/11,04/06/11,"Freehold Cartage, Inc., Freehold, NJ 07728",Worker was crushed between two trailers.
FY 2011,04/09/11,04/06/11,"Michels Pipeline, Livingston, WI 53554",Worker was electrocuted while installing a new set of power lines next to existing lines.
FY 2011,04/09/11,04/08/11,"E & A Construction Chattanooga, TN 37421",Worker was killed after falling through a sky light while removing rubber roofing.
FY 2011,04/16/11,03/30/11,"Eller-I.T.O. Stevedoring Company L.L.C., Miami, FL 33132",Worker was struck and killed by a falling refrigerated container.
FY 2011,04/16/11,04/01/11,"Macy's Department Store, Atlanta, GA 30326",A department store worker died after tripping over the leg of fixture and hitting his head on the tiled floor.
FY 2011,04/16/11,04/01/11,"Union Roofing, Inc., Bloomington, IL 61701",Worker repairing a metal roof died after falling eight feet from a ladder to the concrete ground.
FY 2011,04/16/11,04/03/11,"Tom Nelson Painting, Inc., Maitland, FL 32751",A worker using an aerial lift to spray paint a structure's ceiling was killed after falling nearly 60 feet from the lift's basket.
FY 2011,04/16/11,04/04/11,"Ayres Associates, Inc., Jacksonville, FL 32257",Worker conducting a traffic survey was electrocuted when the worker's bucket truck contacted an overhead power line.
FY 2011,04/16/11,04/04/11,"City of Chicago Police Dept Chicago, IL 60643",Worker died after suffering respiratory failure from inhaling a cleaning substance.
FY 2011,04/16/11,04/04/11,"Madison Livestock Market, Inc., Madison, FL 32341",Worker died from an apparent heart attack while corraling livestock onto a trailer.
FY 2011,04/16/11,04/05/11,"Resourceful Environmental Services, Inc., Cleveland, MS 38732-2109","Truck driver, who was operating levers to cover the truck's dumpster, was electrocuted when the tarping arm contacted a 7800-volt overhead power line."
FY 2011,04/16/11,04/07/11,"United Fire Protection, Inc., Lake Placid, FL 33610",Two workers filling a water storage tank and replacing a fire pump system were crushed when the building collapsed after the storage tank exploded.
