Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
8/13/2014,"Intrepid Motorsports, Farmington, UT 84025",Worker crushed by vehicle while responding to track collision.,Fatality,,,,,,,,,,,,,,
8/13/2014,"NCDA&CS, NC Forest Service ? Tuttle Educational State Forest, Lenoir, NC 28645",Worker struck and killed by tree.,Fatality,,,,,,,,,,,,,,
8/13/2014,"Pacifica Resources, Nome, AK 99762",Worker died while conducting diving operations. ,Fatality,,,,,,,,,,,,,,
8/13/2014,"Precision Builders, Bethesda, OH 43719",Worker killed in fall from ceiling rafters.,Fatality,,,,,,,,,,,,,,
8/13/2014,"W.G. Biittner Masonry, Brookings, SD 57007",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
8/13/2014,"West Valley Aviation, Mendota, CA 93622",Worker killed when service truck rolled into canal.,Fatality,,,,,,,,,,,,,,
8/12/2014,"Boyd Brothers Contracting Inc., Tioga, TX 76271",Worker killed after contacting circular saw.,Fatality,,,,,,,,,,,,,,
8/12/2014,"Lonestar Management Inc., Pittsburg, KS 66762",Worker killed in fireworks storage container fire. ,Fatality,,,,,,,,,,,,,,
8/12/2014,"Orange County Transit Authority,  Anaheim, CA 92805",Worker killed in fall from bus stairs.,Fatality,,,,,,,,,,,,,,
8/12/2014,"Thunderhorse Mid-Stream Services LLC, Henderson, TX 75652",Worker killed in explosion when mulcher struck natural gas line.,Fatality,,,,,,,,,,,,,,
8/11/2014,"American Construction Northwest LLC,  Snoqualimie Pass, WA 98068",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
8/11/2014,"Georgia Pacific, Crossett, AR 71635",Worler killed after becoming caught in paper rolling machine.  ,Fatality,,,,,,,,,,,,,,
8/11/2014,"Greengo Farms,   Brawley, CA 92227",Worker driving tractor killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
8/11/2014,"Jose Construction Corp., Rockaway, NY 11691",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
8/11/2014,"Lawson Drayage Salinas, CA 93907",Worker fatally crushed when forklift tipped over.,Fatality,,,,,,,,,,,,,,
8/11/2014,"Metropolitan Waste Inc., Augusta, GA 30906",Worker killed when waste vehicle rolled off embankment.  ,Fatality,,,,,,,,,,,,,,
8/10/2014,"JRW and Company,  Encino, CA 91316",Worker electrocuted.,Fatality,,,,,,,,,,,,,,
8/10/2014,"Mike Sherwood, Stockton, IL 61085",Worker killed in fall from communications tower.,Fatality,,,,,,,,,,,,,,
8/9/2014,"Dale's Towing, Inc. Stoneville, NC 27048",Worker struck and killed by tractor trailer.,Fatality,,,,,,,,,,,,,,
8/9/2014,"S & S Treemasters Inc.,  Chandler, IN  47610                                            ",Worker struck and killed by log that rolled off truck.,Fatality,,,,,,,,,,,,,,
8/8/2014,"Banner Forest Resources P.C., Burnsville, NC 28714",Worker struck and killed by falling tree.,Fatality,,,,,,,,,,,,,,
8/8/2014,"Grayden Cedarworks, Junction, TX 76849",Worker killed in fall from manlift.,Fatality,,,,,,,,,,,,,,
8/8/2014,"Jose Martin Gardening Placenta, CA 92870",Landscape worker drowned in pool.,Fatality,,,,,,,,,,,,,,
8/8/2014,"Phoenix Rigging & Erecting, LLC, Austin, TX 78701",Worker struck and killed by broken slegehammer piece.,Fatality,,,,,,,,,,,,,,
8/8/2014,"Turinsky's Marina, Lakeside-Marblehead, OH 43440",Worker struck and killed by front-end loader.,Fatality,,,,,,,,,,,,,,
8/7/2014,"Lonestar Forklift Inc., Dallas, TX 75203",Worker crushed and killed when forklift jack slipped. ,Fatality,,,,,,,,,,,,,,
8/7/2014,"Neagley & Chase Construction, Williston, VT 05495",Three workers hospitalized in building collapse.,Catastrophe,,,,,,,,,,,,,,
8/7/2014,"Par Electrical Contractors Inc.,  Pomeroy, WA 99403",Worker killed when dump truck ran off road.,Fatality,,,,,,,,,,,,,,
8/7/2014,"SAIA Motor Freight Line, Saint Louis, MO 63147",Fourworkers hospitalized for burns from propane tank explosion.,Catastrophe,,,,,,,,,,,,,,
8/7/2014,"Superior Graphite Co., Hopkinsville, KY 42240",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
8/6/2014,"6ADT Demolition Services Inc., Houston, TX 77015",Worker fatally crushed by excavator bucket.,Fatality,,,,,,,,,,,,,,
8/6/2014,"C. M. Payne Hauling & Clearing  Arlington, VA 22207",Worker killed when log rolled on to him from truck.,Fatality,,,,,,,,,,,,,,
8/6/2014,"New Carlisle Fire Department, New Carlisle, IN 46552",Worker struck and killed by falling debris.,Fatality,,,,,,,,,,,,,,
8/6/2014,"Pro Steel Building, Village Mills, TX 77663",Three workers electrocuted when scaffold contacted power line.,Catastrophe,,,,,,,,,,,,,,
8/5/2014,"Air Mechanical, Ham Lake, MN 55304                        ",Worker died after being stung by wasp.,Fatality,,,,,,,,,,,,,,
8/5/2014,"Bombardier Transportation, Houston, TX 77032",Worker killed in fall from airport shuttle track.,Fatality,,,,,,,,,,,,,,
8/5/2014,"BRT Extrusions Inc., Niles, OH 44446",Worker killed after becoming caught in aluminum extrusion press. ,Fatality,,,,,,,,,,,,,,
8/5/2014,"Dalton Logistics Inc., Stanley, ND 58784",Worker fatally crushed by load on flatbed trailer.,Fatality,,,,,,,,,,,,,,
8/5/2014,"Hellman Electric Corp., Bronx, NY 10465",Worker fatally crushed by electrical panel.,Fatality,,,,,,,,,,,,,,
8/5/2014,"Midtown Tree, LLC   Indianapolis, IN 46220",Worker trimming trees struck and killed by branch.,Fatality,,,,,,,,,,,,,,
8/4/2014,"Arrow Materials Services, Elmendorf, TX 78112",Worker killed when utility vehicle flipped over.,Fatality,,,,,,,,,,,,,,
8/4/2014,"Inter Freight Inc., Carlisle, PA 17015",Worker fatally crushed between two tractor trailers.,Fatality,,,,,,,,,,,,,,
8/4/2014,"Mid-States Construction and Roofing Inc., Bleecher City, IL 62414","Worker killed in fall from roof. 
",Fatality,,,,,,,,,,,,,,
8/4/2014,"Negrete's Auto Service Inc., Bensalem, PA 19020",Worker performing maintenance killed when vehicle fell from jacks.  ,Fatality,,,,,,,,,,,,,,
8/4/2014,"Pilgrim's Pride Corporation, Nacogdoches, TX 75961",Worker electrocuted while installing new pump motor. ,Fatality,,,,,,,,,,,,,,
8/4/2014,"Shelby- County Highway Bartlett, TN 38133", Worker killed when mowing tractor rolled over.,Fatality,,,,,,,,,,,,,,
8/4/2014,"Shelby County, Bartlett, TN 38133",Worker killed when mowing tractor turned over. ,Fatality,,,,,,,,,,,,,,
8/4/2014,"Superior Steel Products Inc., Caldwell, ID 83605",Worker killed in fall from man basket.,Fatality,,,,,,,,,,,,,,
8/4/2014,"Total Highway Maintenance LLC, Grand Prairie, TX 75050",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
8/4/2014,"Unicon, Inc. Federalsburg, MD 21632",Worker struck and killed by tractor trailer.,Fatality,,,,,,,,,,,,,,
8/4/2014,"Weyerhaeuser NR Company Grifton, NC  28530",Worker fatally crushed by forklift.  ,Fatality,,,,,,,,,,,,,,
8/2/2014,"Cereal Food Processors, Salt Lake City, UT 84101",Worker fatally crushed by freight elevator.,Fatality,,,,,,,,,,,,,,
8/2/2014,"Rebel Oil Co., Inc.  Las Vegas, NV 89115",Worker died from exposure to ethanol vapor in tanker rail car. ,Fatality,,,,,,,,,,,,,,
8/1/2014,"Pluchak Fab LLC, Marinette, WI 54143",Worker fatally crushed between basket of ariel lift and scissor lift.,Fatality,,,,,,,,,,,,,,
8/1/2014,"Richard Lancaster, Port Saint Joe, FL 32456",Worker electrocuted when fishing net contacted power line.,Fatality,,,,,,,,,,,,,,
8/1/2014,"Stone Kat Development Chandler, AZ 85225",Worker electrocuted while replacing light fixture ballast.,Fatality,,,,,,,,,,,,,,
7/31/2014,"Asplundh Tree Expert Company, Bickmore, WV 25019",Tree care worker electrocuted when power line contacted chain link fence.,Fatality,,,,,,,,,,,,,,
7/31/2014,"Ecology Auto Wrecking, Santa Fe Springs, CA 90670",Worker fatally crushed by heavy machinery.,Fatality,,,,,,,,,,,,,,
7/31/2014,"Lincoln County Human Services Panaca, NV 89042",Worker struck and killed by vehicle backing up.,Fatality,,,,,,,,,,,,,,
7/31/2014,"Lincoln County Human Services, Panaca, NV 89042",Worker struck and killed by truck backing up.  ,Fatality,,,,,,,,,,,,,,
7/31/2014,"Michael F. Ronca & Sons Inc., Barnesville, PA 18214",Worker performing flagging duties struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
7/31/2014,"Stark Transportation, Pipeline, and Oilfield Service Artesia, NM 88210",Worker struck and killed by pipe being unloaded from truck.,Fatality,,,,,,,,,,,,,,
7/31/2014,"Time Warner Cable, Arlington, TX 76011",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
7/30/2014,"DBI Industries Inc., Port Charlotte, FL 33948",Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
7/30/2014,"Diversified Field Services Inc./J&M Welding   Artesia, NM 88210",Worker asphyxiated by hydrogen sulfide from ruptured pipeline.,Fatality,,,,,,,,,,,,,,
7/30/2014,"Flyway Access LLC, Ocala, FL 34474",Worker killed in fall from bucket lift.,Fatality,,,,,,,,,,,,,,
7/30/2014,"Frank B. Whitcomb Construction Corp.  South Burlington, VT 05403",Worker struck and killed by oncoming traffic.,Fatality,,,,,,,,,,,,,,
7/30/2014,"South Beach Go-Karts, Inc.  Westport, WA 98595",Worker killed in fall.,Fatality,,,,,,,,,,,,,,
7/30/2014,"Sunwest Fruit Company, Fresno, CA 93648",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
7/29/2014,"Footing Specialists of Concord, Inc., Waxhaw, NC 28179                           ",Worker run over and killed after falling off back of truck.,Fatality,,,,,,,,,,,,,,
7/29/2014,"Tandem Industries, LLC, Las Vegas, NV  89101        ",Worker killed by falling forklift part.,Fatality,,,,,,,,,,,,,,
7/29/2014,"Texas Parks & Wildlife Department, San Marcos, TX 78666",Worker asphyxiated by exhaust from gasoline-powered pump. ,Fatality,,,,,,,,,,,,,,
7/28/2014,"Accu-Fab & Construction Inc., Moss Point, MS 39563",Worker killed in tank explosion. ,Fatality,,,,,,,,,,,,,,
7/28/2014,"American Steel LLC, Garrett, IN 46738",Worker struck and killed by crane.,Fatality,,,,,,,,,,,,,,
7/28/2014,"Miller's Plumbing and Mechanical Incorporated, Tallahassee, FL 32306",Worker killed by fallen hoist.,Fatality,,,,,,,,,,,,,,
7/28/2014,"MP Systems, Inc., Frankin, MN 55333",Worker electrocuted by power line.,Fatality,,,,,,,,,,,,,,
7/28/2014,"Pro Crew Construction Co., Old Forge, PA 18518",Worker killed in fall.,Fatality,,,,,,,,,,,,,,
7/28/2014,"Sequoia Golf Holdings LLC, Stone Mountain, GA 30087",Worker killed when equipment rolled over him.,Fatality,,,,,,,,,,,,,,
7/27/2014,"Guichard Operating Company Inc., Port Arthur, TX 77642",Worker electrocuted by generator.,Fatality,,,,,,,,,,,,,,
7/27/2014,"PO Boys Plumbing Inc., Winder, GA 30680",Worker killed in fall down manhole.,Fatality,,,,,,,,,,,,,,
7/27/2014,"R&R Electrical Contractors Inc., Naperville, IL 60563",Worker electrocuted while installing lighting. ,Fatality,,,,,,,,,,,,,,
7/27/2014,"United Airlines, Atlanta, GA 30320",Worker struck and killed by vehicle hood knocked off by jet blast.,Fatality,,,,,,,,,,,,,,
7/26/2014,"Grenz Family Farm, Napoleon, ND 58561",Worker fatally engulfed after falling into grain bin. ,Fatality,,,,,,,,,,,,,,
7/26/2014,"Ocean Spray Cranberries, Inc., Henderson, NV  89011",Worker killed in fall through skylight.  ,Fatality,,,,,,,,,,,,,,
7/25/2014,"David Wisniewski II, Buffalo, NY 14207",Worker killed when automobile fell on him.,Fatality,,,,,,,,,,,,,,
7/25/2014,"Gutierrez Carpentry Gainesville, VA 20155",Worker killed in fall through floor opening.,Fatality,,,,,,,,,,,,,,
7/25/2014,"Miny Dom Co., Hialeah, FL 33014",Worker electrocuted after contacting live wire. ,Fatality,,,,,,,,,,,,,,
7/25/2014,"Packaging Corporation of America, Counce, TN  38326              ",Worker struck and killed by forklift.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Absolute Finishing Systems LLC, Framingham, MA 01701",Worker died after falling from stairwell.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Cherokee Development, Inc., Martinsville, IN 46451",Worker electrocuted when boom on truck contacted live wire.   ,Fatality,,,,,,,,,,,,,,
7/24/2014,"European Restorations Inc., Boston, MA 02116",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Fastrack Erectors, Kansas City, MO 64147",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Fremont Brakes & Oil LLC, Fremont, OH 43420",Worker struck and killed by car engine radiator fan. ,Fatality,,,,,,,,,,,,,,
7/24/2014,"Georgia Pacific, Cedar Springs, GA 39832",Employee struck and killed by powered industrial truck.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Joseph Escalera, Buffalo, NY 14204",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Landmark Drilling LLC, Dighton, KS 67839",Worker struck and killed by metal tong arm that slipped loose while holding pipe.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Miami Tile Deliveries Corp, Miami, FL 33177",Worker electrocuted when boom truck contacted overhead power lines.,Fatality,,,,,,,,,,,,,,
7/24/2014,"Tekton Co., Fort Bragg, NC 28310",Worker killed in trench cave-in.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Applebee Avaiation, Inc., Chelan, WA 98816",Worker killed in helicopter crash.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Camp Illiana, Washington, IN 47501",Worker struck and killed by tree limb.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Cemex Brooksville Terminal Cement Plant, Brooksville, FL 34601",Worker killed after being pinned between front end loader and truck.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Diversified Concrete Cutting, Inc., Boardman, OR 97818",Worker crushed by truck pulling rumble machine.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Doug Hodgson Trucking, Inc., Gorman, CA 93243",Worker struck and killed by truck.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Florida Safety Contractors Inc., Lakeland, FL 33801",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Pascual Cortes Consultants, Sugar Land, TX 77479",Worker installing a light post electrocuted after contacting live wire. ,Fatality,,,,,,,,,,,,,,
7/23/2014,"Rob's Remodification, Renovations and Repairs, Tallahassee, FL 32310",Worker killed in fall from roof.  ,Fatality,,,,,,,,,,,,,,
7/23/2014,"Staten Industries LLC, Brookhaven, MS 39601",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Sterling Boiler and Mechnical, Evansville, IN 47715",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Town of New Canaan DPW Highway Division  New Canaan, CT 06840",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
7/23/2014,"Well Built Quality Construction Company, Cherry Hill, NJ 08002",Worker installing roof killed in fall.,Fatality,,,,,,,,,,,,,,
7/22/2014,"Ace Pipeline Inc., Hannibal, OH 43931",Employee killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
7/22/2014,"Ark Services LLC, Louisville, KY  40219             ",Worker killed in fall from elevated platform. ,Fatality,,,,,,,,,,,,,,
7/22/2014,"Klinger Constructors, Rio Rancho, NM 87124",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
7/22/2014,"Mar-Jim Contracting LLC, Kansas City, MO 64119",Worker killed in fall from bridge.,Fatality,,,,,,,,,,,,,,
7/22/2014,"New Enterprise Stone & Lime Company Inc., Alum Bank, PA 15521",Worker electrocuted when paving machine contacted overhead power line. ,Fatality,,,,,,,,,,,,,,
7/22/2014,"PAR Electrical Contractors Inc., Metamora, OH 43540",Worker electrocuted by high voltage power line.,Fatality,,,,,,,,,,,,,,
7/22/2014,"State of Oregon Department of Transportation, Echo, OR 97826",Worker backed over by machinery.,Fatality,,,,,,,,,,,,,,
7/22/2014,"Vance Brothers Inc., Hutchinson, KS 67501",Worker struck and killed by trash truck. ,Fatality,,,,,,,,,,,,,,
7/21/2014,"Evergreen Erectors, Inc., Bellevue, WA 98007",Worker killed in fall through floor opening.,Fatality,,,,,,,,,,,,,,
7/21/2014,"Josten Concrete Products Company Inc., Sioux Falls, SD 57105",Worker struck and killed by falling manhole cover.,Fatality,,,,,,,,,,,,,,
7/21/2014,"Overflow Energy, Booker, TX 79005",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
7/21/2014,"Paper Transport, Kansas City, MO 64161",Worker struck and killed by load that fell from truck storage area.,Fatality,,,,,,,,,,,,,,
7/21/2014,"Structural Prestressed Industries Inc., Fort Lauderdale, FL 33301",Worker struck and killed by concrete joist.,Fatality,,,,,,,,,,,,,,
7/20/2014,"Fervas Construction, LLC Ashburn, VA 20148",Worker killed in fall through rooftop exhaust.  ,Fatality,,,,,,,,,,,,,,
7/20/2014,"Robert L. Lujan, Las Vegas, NV 89103",Worker struck and killed by motor vehicle. ,Fatality,,,,,,,,,,,,,,
7/18/2014,"Rain-Man Guttering Inc., Lawrence, KS 66044",Worker repairing gutter electrocuted after contacing power line.,Fatality,,,,,,,,,,,,,,
7/18/2014,"Troy Top Soil Co. Inc., Morrisonville, NY 12962",Worker crushed by load of  top soil from dump truck.,Fatality,,,,,,,,,,,,,,
7/17/2014,"1856 Nolan SBander Inc., Philadelphia, PA 19138",Worker killed in fall when ladder jack scaffold collapsed.,Fatality,,,,,,,,,,,,,,
7/17/2014,"325 Emerson Street , Pittsburg, PA 15206",Worker waxing floor killed after slipping and striking his head.,Fatality,,,,,,,,,,,,,,
7/17/2014,"Avant Datacomm Solutions Inc., Denver, CO 80236",Worker killed in fall from ladder at construction site.,Fatality,,,,,,,,,,,,,,
7/17/2014,"Five Star Plastering, Hartman Way-Canoga Park, CA 92691",Worker electrocuted after contacting energized line.,Fatality,,,,,,,,,,,,,,
7/17/2014,"Integrity First Refrigeration & A/C Services Inc., Saint Augustine, FL 32080",Worker electrocuted while wiring motor.,Fatality,,,,,,,,,,,,,,
7/17/2014,"Jones Plastic & Engineering Company LLC, Camden, TN 38320                       ",Worker struck and killed by jack while working on forklift. ,Fatality,,,,,,,,,,,,,,
7/17/2014,"Malecek Construction Inc., Imperial, MO 63052",Working struck and killed by structural beam.,Fatality,,,,,,,,,,,,,,
7/17/2014,"Star of the West, Kent, OH 44240",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
7/17/2014,"Van Kirk Sand and Gravel Inc., Holdrege, NE 68949",Working struck and killed by bucket that fell from excavator.,Fatality,,,,,,,,,,,,,,
7/16/2014,"Builders in Action, Sarasota, FL 34231",Worker struck and killed by lightning. ,Fatality,,,,,,,,,,,,,,
7/16/2014,"Dish Network, Tulsa, OK 74116",Worker killed in motor vehicle collision. ,Fatality,,,,,,,,,,,,,,
7/16/2014,"Maddens on Gull Lake, Brainerd, MN 56401",Worker died from bee sting.,Fatality,,,,,,,,,,,,,,
7/16/2014,"Titan Electric Co Inc., Louisville, KY 40213",Worker killed in fall down unguarded elevator shaft.,Fatality,,,,,,,,,,,,,,
7/16/2014,"Utility Trailer Manufacturing Co., Clearfield, UT  84015",Worker died after falling onto powered hand tool drill bit.,Fatality,,,,,,,,,,,,,,
7/15/2014,"Hi-Tex Inc., Kings Mountain, NC 28086                                           ",Worker died after falling and hitting cross beam.,Fatality,,,,,,,,,,,,,,
7/15/2014,"Iron Tree Solutions, Williams, CA 95987",Worker struck and killed by flying part.,Fatality,,,,,,,,,,,,,,
7/15/2014,"JBB Property, LLC, Richmond, VA 23219",Worker died after falling against granite curb.  ,Fatality,,,,,,,,,,,,,,
